Name of Book,About,Recall Date,Record Date,Session 1,Session 10,Session 2,Session 3,Session 4,Session 5,Session 6,Session 7,Session 8,Session 9
"If it’s not actionable, it’s not a problem. It’s a situation, a circumstance, a fact of life. It may be a drag (so to speak), but, like gravity, it’s not a problem that can be solved.",Problem Solving,"October 9, 2023","December 29, 2022",2Days,,5 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days,120 Days
"It has to do with reality. People fight reality. They fight it tooth and
nail, with everything they’ve got. And anytime you are arguing or fighting with
reality, reality will win. You can’t outsmart it. You can’t trick it. You can’t bend it
to your will.",Problem Solving,"December 25, 2023","December 29, 2022",2Days,,5 Days,7 Days,15 Days,30 Days,60 Days,60 Days,182 Days,
The only response to a gravity problem is acceptance. And this is where all good designers begin. This is the “You Are Here” or “Accept” phase of design thinking. Acceptance. That’s why you start where you are. Not where you wish you were. Not where you hope you are. Not where you think you should be. But right where you are.,Problem Solving,"October 24, 2023","December 29, 2022",2Days,,5 Days,7 Days,15 Days,30 Days,60 Days,60 Days,120 Days,
"The brain represents only about 2 percent of our body weight, and yet it takes up 25 percent of the energy we consume every day. It’s no wonder that the way we invest our attention is critical to whether or not we feel high or low energy.",Procrastination,"June 19, 2024","December 31, 2022",2Days,365 Days,5 Days,7 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days
"nothing good gets away, as long as you create the space to let it emerge.",Life Lesson,"February 28, 2024","January 5, 2023",2Days,,5 Days,7 Days,15 Days,30 Days,60 Days,60 Days,120 Days,120 Days
The secret to doing good research is always to be a little underemployed. You waste years by not being able to waste hours.,Life Lesson,"August 3, 2023","January 6, 2023",2Days,,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,60 Days,
"Many people I talk to are convinced that the formula for living on their own terms is saving up enough money. I wish they knew what I know: //// the longer we spend on a path that isn’t ours, the longer it takes to move toward a path that is.  ////// Money might help pay for therapy, time off, and healing retreats, but it won’t help you come to a place where you really trust and know that everything will be okay.",Career,"November 1, 2023","January 6, 2023",2Days,,5 Days,7 Days,15 Days,30 Days,30 Days,30 Days,60 Days,120 Days
“The life which men praise and regard as successful is but one kind. Why should we exaggerate any one kind at the expense of the others?”,Life Lesson,"September 2, 2023","January 6, 2023",2Days,,5 Days,7 Days,15 Days,30 Days,60 Days,120 Days,,
“play long-term games with long-term people.”,Life Lesson,"November 1, 2023","January 6, 2023",2Days,,5 Days,7 Days,15 Days,30 Days,60 Days,60 Days,120 Days,
Adaptability creates stability,Mindset,"September 22, 2025","January 7, 2023",365 Days,365 Days,5 Days,7 Days,7 Days,15 Days,15 Days,30 Days,60 Days,120 Days
"In life, there are multiple gold medals. If you try to be the best at everything and better than everyone (that is, if you believe success means ascending one global, mega leaderboard), you’ll be the best at nothing and better than no one.",Mindset,"November 1, 2023","January 8, 2023",5 Days,,7 Days,15 Days,30 Days,60 Days,60 Days,120 Days,,
"“No, no! Get out of the weeds. Go where there’s fast growth, because fast growth creates all opportunities,”2 he told her. It was outstanding advice: Work in a market with natural momentum. Ride the big waves.",Career,"October 5, 2023","January 9, 2023",2Days,,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,
"Tony Blair spent a year trying to make a go of it as a rock music promoter before entering politics. Jerry Springer was mayor of Cincinnati before attaining daytime television fame. Andrea Bocelli practiced law before he became a world-famous singer. Winning careers, like winning start-ups, are in permanent beta: always a work in progress.",Career,"January 15, 2024","January 9, 2023",2Days,,7 Days,15 Days,15 Days,30 Days,60 Days,60 Days,182 Days,
"No matter how old you are or at what stage, you will always be planning and adapting.",Career,"October 28, 2023","January 9, 2023",7 Days,,15 Days,30 Days,60 Days,60 Days,120 Days,,,
"Many people defer collecting full-time wages by spending twenty-three
consecutive years in school. A high school dropout can make more
money in the short run than the guy stuck studying chemistry. But in the
long run, the logic goes, a person with a foundation of knowledge and
skills will make more money and most likely live a more meaningful life.
It’s true. And there’s a similar belief in start-ups: technology companies
focus on learning over profitability in the early years to maximize
revenue in the later years.",Career,"October 6, 2023","January 9, 2023",15 Days,,15 Days,30 Days,30 Days,60 Days,120 Days,,,
